DBLP:journals/jacm/KleinbergPR04	Segmentation problems	Jon M. Kleinberg and Christos H. Papadimitriou and Prabhakar Raghavan	2004

DBLP:conf/algosensors/PapadimitriouR04	On a Conjecture Related to Geometric Routing	Christos H. Papadimitriou and David Ratajczak	2004

DBLP:conf/hipc/Papadimitriou04	Networks and Games	Christos H. Papadimitriou	2004

DBLP:conf/latin/ElsonKPS04	Global Synchronization in Sensornets	Jeremy Elson and Richard M. Karp and Christos H. Papadimitriou and Scott Shenker	2004

DBLP:conf/podc/ChunCWBPK04	Selfish caching in distributed systems: a game-theoretic analysis	Byung-Gon Chun and Kamalika Chaudhuri and Hoeteck Wee and Marco Barreno and Christos H. Papadimitriou and John Kubiatowicz	2004

DBLP:conf/stoc/FabrikantPT04	The complexity of pure Nash equilibria	Alex Fabrikant and Christos H. Papadimitriou and Kunal Talwar	2004

DBLP:journals/iandc/GottlobP03	On the complexity of single-rule datalog queries	Georg Gottlob and Christos H. Papadimitriou	2003

DBLP:journals/im/ArcherPTT03	An Approximate Truthful Mechanism for Combinatorial Auctions with Single Parameter Agents	Aaron Archer and Christos H. Papadimitriou and Kunal Talwar and Eva Tardos	2003

DBLP:journals/jcss/KleinbergPR03	Auditing Boolean attributes	Jon M. Kleinberg and Christos H. Papadimitriou and Prabhakar Raghavan	2003

DBLP:journals/jcss/DengPS03	On the complexity of price equilibria	Xiaotie Deng and Christos H. Papadimitriou and Shmuel Safra	2003

DBLP:journals/sigcse/Papadimitriou03	MythematiCS: in praise of storytelling in the teaching of computer science and math	Christos H. Papadimitriou	2003

DBLP:journals/tods/KarpSP03	A simple algorithm for finding frequent elements in streams and bags	Richard M. Karp and Scott Shenker and Christos H. Papadimitriou	2003

DBLP:conf/birthday/Papadimitriou03	The New Problems	Christos H. Papadimitriou	2003

DBLP:conf/fct/Papadimitriou03	Games and Networks	Christos H. Papadimitriou	2003

DBLP:conf/focs/MihailPS03	On Certain Connectivity Properties of the Internet Topology	Milena Mihail and Christos H. Papadimitriou and Amin Saberi	2003

DBLP:conf/iticse/Papadimitriou03	emphMythematics: storytelling in the teaching of computer science and mathematics	Christos H. Papadimitriou	2003

DBLP:conf/mobicom/RaoPSS03	Geographic routing without location information	Ananth Rao and Christos H. Papadimitriou and Scott Shenker and Ion Stoica	2003

DBLP:conf/podc/FabrikantLMPS03	On a network creation game	Alex Fabrikant and Ankur Luthra and Elitza N. Maneva and Christos H. Papadimitriou and Scott Shenker	2003

DBLP:conf/soda/ArcherPTT03	An approximate truthful mechanism for combinatorial auctions with single parameter agents	Aaron Archer and Christos H. Papadimitriou and Kunal Talwar and Eva Tardos	2003

DBLP:journals/jacm/HellersteinKMPS02	On a model of indexability and its bounds for range queries	Joseph M. Hellerstein and Elias Koutsoupias and Daniel P. Miranker and Christos H. Papadimitriou and Vasilis Samoladas	2002

DBLP:journals/jacm/ChenGP02	Map graphs	Zhi-Zhong Chen and Michelangelo Grigni and Christos H. Papadimitriou	2002

DBLP:journals/jcss/IoannidisP02	Special Issue on PODS 1999 - Guest Editors Foreword	Yannis E. Ioannidis and Christos H. Papadimitriou	2002

DBLP:journals/tcs/DantsinGHKKPRS02	A deterministic (2-2/(k+1))(^mboxn) algorithm for k-SAT based on local search	Evgeny Dantsin and Andreas Goerdt and Edward A. Hirsch and Ravi Kannan and Jon M. Kleinberg and Christos H. Papadimitriou and Prabhakar Raghavan and Uwe Sch"oning	2002

DBLP:conf/colt/Papadimitriou02	Learning the Internet	Christos H. Papadimitriou	2002

DBLP:conf/focs/DevanurPSV02	Market Equilibrium via a Primal-Dual-Type Algorithm	Nikhil R. Devanur and Christos H. Papadimitriou and Amin Saberi and Vijay V. Vazirani	2002

DBLP:conf/icalp/FabrikantKP02	Heuristically Optimized Trade-Offs: A New Paradigm for Power Laws in the Internet	Alex Fabrikant and Elias Koutsoupias and Christos H. Papadimitriou	2002

DBLP:conf/latin/Papadimitriou02	The Internet, the Web, and Algorithms	Christos H. Papadimitriou	2002

DBLP:conf/podc/FeigenbaumPSS02	A BGP-based mechanism for lowest-cost routing	Joan Feigenbaum and Christos H. Papadimitriou and Rahul Sami and Scott Shenker	2002

DBLP:conf/random/MihailP02	On the Eigenvalue Power Law	Milena Mihail and Christos H. Papadimitriou	2002

DBLP:conf/setn/Papadimitriou02	Understanding the Internet	Christos H. Papadimitriou	2002

DBLP:conf/sigcomm/AkellaSKSP02	Selfish behavior and stability of the internet: a game-theoretic analysis of TCP	Aditya Akella and Srinivasan Seshan and Richard M. Karp and Scott Shenker and Christos H. Papadimitriou	2002

DBLP:conf/stoc/DengPS02	On the complexity of equilibria	Xiaotie Deng and Christos H. Papadimitriou and Shmuel Safra	2002

DBLP:conf/stoc/Papadimitriou02	The Joy of Theory	Christos H. Papadimitriou	2002

